grad_norm,loss,loss_q0,loss_q1,loss_q2,loss_q3,param_norm,samples,step
1.3619847726890133,0.42838641107082365,0.44151930910884396,0.43488245694464783,0.4048870493194836,0.4334983655969627,3961.8747007587585,561,10
1.0875869403321565,0.4046134203672409,0.4013477087518044,0.3975194608871587,0.42977477707754574,0.39203829763636416,3961.8748196638726,1071,20
0.8532810353453624,0.37228002846241,0.3418323222649633,0.4016524682090115,0.4059600866583953,0.33888107224295777,3961.8752146636207,1581,30
0.8264025490929721,0.3822310894727707,0.3737879990156389,0.38464777032394437,0.3875913052245904,0.38247221907635115,3961.8751263127992,2091,40
0.7660637850524624,0.36009377241134644,0.31927792272683375,0.3422333865141076,0.4070338617528833,0.37485745071049403,3961.8747160439675,2601,50
0.7733184771715622,0.3313890129327774,0.30911765136451547,0.3128558673375133,0.3258392178704522,0.38125255209497694,3961.8741432082966,3111,60
0.6937467752361854,0.32404037415981296,0.3046650404162632,0.345787742088854,0.3737471494047591,0.26823178320191793,3961.8733671253676,3621,70
0.6710831171761305,0.32059022784233093,0.3263691188440771,0.35785859039728374,0.335393592469182,0.25581115976561836,3961.8723169958093,4131,80
0.6682404418700241,0.277844563126564,0.3015715182111922,0.27309284188770433,0.28330579601617445,0.24962027921145305,3961.8711690584487,4641,90
0.7203772059713897,0.24496838897466663,0.2820191473389666,0.2245545728882361,0.2664851230384339,0.20367534271687926,3961.8703473924966,5151,100
0.7916083996923193,0.25713387578725816,0.27165541094127,0.2841460041909156,0.23551731257543065,0.23815244426642976,3961.8699857974707,5661,110
